#mass ratio in the WTHERM simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,ratio_mean,ratio_errl,ratio_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean mass ratio in the bin,"1sigma error of mass ratio, lower end","1sigma error of mass ratio, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5.23792,7.9,8.9,2.11416e+08,1.92286e+06,1.93886e+06,0.575807,0.00196333,0.00195496
5.23792,8,9,2.64701e+08,2.658e+06,2.6966e+06,0.57858,0.00213601,0.00213101
5.23792,8.1,9.1,3.31188e+08,3.68592e+06,3.69307e+06,0.582354,0.00239262,0.00237749
5.23792,8.2,9.2,4.11191e+08,5.04624e+06,5.09537e+06,0.585333,0.00265802,0.00263994
5.23792,8.3,9.3,5.18384e+08,7.08095e+06,7.18524e+06,0.590221,0.00296338,0.00299818
5.23792,8.4,9.4,6.46267e+08,9.80203e+06,9.92978e+06,0.594755,0.00329869,0.00328845
5.23792,8.5,9.5,8.06983e+08,1.38473e+07,1.3903e+07,0.600573,0.00372044,0.00369399
5.23792,8.6,9.6,1.00666e+09,1.93893e+07,1.9839e+07,0.60712,0.00413431,0.00409965
5.23792,8.7,9.7,1.25681e+09,2.7071e+07,2.77858e+07,0.612774,0.00456068,0.00451384
5.23792,8.8,9.8,1.57085e+09,3.78819e+07,3.89899e+07,0.614594,0.00491503,0.00493425
5.23792,8.9,9.9,1.94435e+09,5.20614e+07,5.35413e+07,0.614038,0.00551419,0.00553598
5.23792,9,10,2.44017e+09,7.38091e+07,7.65634e+07,0.616007,0.0061958,0.00617761
5.23792,9.1,10.1,3.09617e+09,1.09073e+08,1.11985e+08,0.619373,0.00714018,0.00706888
5.23792,9.2,10.2,3.75025e+09,1.45306e+08,1.5041e+08,0.624929,0.00801388,0.00805578
5.23792,9.3,10.3,4.58271e+09,1.92857e+08,2.00981e+08,0.626903,0.00922215,0.00923651
5.23792,9.4,10.4,5.73541e+09,2.9067e+08,3.07168e+08,0.628555,0.0103592,0.0103294
5.23792,9.5,10.5,7.00921e+09,3.94752e+08,4.23122e+08,0.627138,0.0121698,0.0120259
5.23792,9.6,10.6,8.74429e+09,5.8736e+08,6.21407e+08,0.626356,0.0142331,0.0140492
5.23792,9.7,10.7,1.13001e+10,9.10356e+08,9.99365e+08,0.631645,0.0172127,0.0170073
5.23792,9.8,10.8,1.40551e+10,1.26484e+09,1.41178e+09,0.643088,0.0207817,0.0202468
5.23792,9.9,10.9,1.7035e+10,1.75906e+09,1.96732e+09,0.652903,0.0234381,0.0231683
5.23792,10,11,2.0743e+10,2.39253e+09,2.70057e+09,0.656263,0.028068,0.0278224
5.23792,10.1,11.1,2.89345e+10,4.07214e+09,4.80926e+09,0.648013,0.0354507,0.0339047
5.23792,10.2,11.2,3.52917e+10,5.7013e+09,7.01442e+09,0.643465,0.0399042,0.0377793
5.23792,10.3,11.3,3.96013e+10,6.58581e+09,8.00192e+09,0.658612,0.0414104,0.0398971
5.23792,10.4,11.4,5.0213e+10,9.01689e+09,1.10795e+10,0.681223,0.0463024,0.044989
5.23792,10.5,11.5,5.77013e+10,1.02847e+10,1.28906e+10,0.69566,0.0459265,0.0473723
5.27989,7.5,8.5,8.86829e+07,535925,541320,0.56384,0.00156343,0.00154584
