#baryon fraction in the ADIAB simulation
#z,log10(mass_lower),log10(mass_upper),mass_mean,mass_errl,mass_erru,fb_mean,fb_errl,fb_erru
#notes: redshift,"mass bin, lower end","mass bin, upper end",mean mass in the bin,"1sigma error of mass, lower end","1sigma error of mass, upper end",mean baryon fraction in the bin,"1sigma error of baryon fraction, lower end","1sigma error of baryon fraction, upper end"
#units: 1,log10(Msol),log10(Msol),Msol,Msol,Msol,1,1,1
5.19665,9.7,10.7,1.15504e+10,9.42831e+08,1.02593e+09,0.893929,0.00353186,0.00358337
5.19665,9.8,10.8,1.41368e+10,1.2668e+09,1.41247e+09,0.894551,0.00406719,0.00412201
5.19665,9.9,10.9,1.71535e+10,1.76391e+09,1.96885e+09,0.895216,0.00467905,0.00478745
5.19665,10,11,2.07839e+10,2.35073e+09,2.70453e+09,0.893725,0.00508341,0.00513986
5.19665,10.1,11.1,2.91378e+10,4.11386e+09,4.85721e+09,0.891112,0.00649945,0.00660737
5.19665,10.2,11.2,3.54061e+10,5.74016e+09,6.87161e+09,0.892584,0.00666496,0.00676496
5.19665,10.3,11.3,4.04127e+10,6.72044e+09,8.2519e+09,0.892947,0.00718468,0.00717905
5.19665,10.4,11.4,5.04651e+10,9.03391e+09,1.11246e+10,0.89378,0.0078034,0.00753238
5.19665,10.5,11.5,5.77466e+10,1.02521e+10,1.28703e+10,0.892877,0.00885279,0.00890104
5.23792,7.5,8.5,8.84127e+07,540230,541866,0.565519,0.00125569,0.00125686
5.23792,7.6,8.6,1.08968e+08,725158,731165,0.599444,0.00135014,0.00133586
5.23792,7.7,8.7,1.3419e+08,988976,986778,0.633877,0.00141465,0.00140697
5.23792,7.8,8.8,1.67709e+08,1.36656e+06,1.38144e+06,0.670053,0.00145588,0.00146987
5.23792,7.9,8.9,2.11494e+08,1.90963e+06,1.93347e+06,0.705945,0.00150242,0.00149387
5.23792,8,9,2.64868e+08,2.66341e+06,2.68721e+06,0.737757,0.0014791,0.00148984
5.23792,8.1,9.1,3.31454e+08,3.70077e+06,3.70485e+06,0.76624,0.00148601,0.00149164
5.23792,8.2,9.2,4.11428e+08,5.0457e+06,5.065e+06,0.790117,0.00150254,0.00149232
5.23792,8.3,9.3,5.18795e+08,7.13026e+06,7.18210e+06,0.811849,0.00148946,0.00149488
5.23792,8.4,9.4,6.47335e+08,9.85696e+06,9.91517e+06,0.829402,0.00149666,0.00147882
5.23792,8.5,9.5,8.08312e+08,1.38165e+07,1.40124e+07,0.84337,0.00152434,0.00151808
5.23792,8.6,9.6,1.00777e+09,1.92572e+07,1.95843e+07,0.855672,0.00153436,0.00151011
5.23792,8.7,9.7,1.25844e+09,2.71441e+07,2.75849e+07,0.86563,0.00154084,0.00152029
5.23792,8.8,9.8,1.57269e+09,3.81282e+07,3.85935e+07,0.874074,0.00160909,0.00160549
5.23792,8.9,9.9,1.94366e+09,5.19477e+07,5.3516e+07,0.880693,0.00169964,0.00167888
5.23792,9,10,2.43753e+09,7.3995e+07,7.57211e+07,0.885501,0.00183114,0.00182965
5.23792,9.1,10.1,3.09025e+09,1.08251e+08,1.10993e+08,0.889036,0.00195684,0.00195578
5.23792,9.2,10.2,3.74207e+09,1.44545e+08,1.49223e+08,0.891057,0.00210871,0.00212761
5.23792,9.3,10.3,4.57179e+09,1.92332e+08,2.00191e+08,0.89304,0.00240081,0.00241578
5.23792,9.4,10.4,5.72408e+09,2.87181e+08,3.06638e+08,0.894049,0.00262916,0.00268416
5.23792,9.5,10.5,7.00053e+09,3.96504e+08,4.18238e+08,0.893632,0.00285234,0.00290644
5.23792,9.6,10.6,8.72863e+09,5.81814e+08,6.23326e+08,0.895724,0.00333916,0.00340425
5.23792,9.7,10.7,1.12937e+10,8.96513e+08,9.91408e+08,0.894691,0.00376044,0.00387054
5.23792,9.8,10.8,1.40913e+10,1.26201e+09,1.4087e+09,0.894834,0.00406071,0.0041977
5.23792,9.9,10.9,1.70446e+10,1.76212e+09,1.97728e+09,0.895903,0.00476462,0.00485689
5.23792,10,11,2.07453e+10,2.37886e+09,2.69513e+09,0.894475,0.00514619,0.00525015
5.23792,10.1,11.1,2.89459e+10,4.08232e+09,4.84402e+09,0.89471,0.00650545,0.00672532
5.23792,10.2,11.2,3.53282e+10,5.68971e+09,6.9584e+09,0.896043,0.00697174,0.00718223
5.23792,10.3,11.3,3.95818e+10,6.57415e+09,7.98397e+09,0.89364,0.00718552,0.00729586
5.23792,10.4,11.4,5.0249e+10,8.95251e+09,1.10205e+10,0.893144,0.00812737,0.00797511
5.23792,10.5,11.5,5.77589e+10,1.02857e+10,1.27668e+10,0.893576,0.00923481,0.00939844
5.27989,7.5,8.5,8.82306e+07,536085,542162,0.565582,0.00125238,0.00125779
5.27989,7.6,8.6,1.08963e+08,730296,724053,0.599797,0.00133443,0.00134833
5.27989,7.7,8.7,1.341e+08,994200,1.00113e+06,0.633832,0.00140924,0.00141786
5.27989,7.8,8.8,1.6771e+08,1.37256e+06,1.39082e+06,0.670786,0.00145821,0.00145555
5.27989,7.9,8.9,2.11015e+08,1.93223e+06,1.91342e+06,0.705844,0.00149546,0.0014782
5.27989,8,9,2.64363e+08,2.65523e+06,2.69253e+06,0.737656,0.0015044,0.00148545
